Constituency Name,1991,1990,1989,1988,1987,1986,1985,1982
Grand River North West and Port Louis West,"30,755","30,148","29,813","29,048","28,951","25,955","24,241","23,893"
Port Louis South and Port Louis Central,"25,930","25,515","25,805","25,848","25,257","20,380","20,441","19,678"
Port Louis Maritime and Port Louis East,"20,701","25,520","20,952","25,061","21,037","13,418","13,450","16,494"
Port Louis North and Montagne Longue,"37,044","36,024","35,231","34,401","33,876","34,772","34,067","31,217"
Pamplemousses and Triolet,"37,665","36,509","35,852","33,964","33,929","36,887","31,392","31,274"
Grand Baie and Poudre D'Or,"34,932","34,158","33,358","31,438","31,424","33,357","28,400","28,442"
Piton and Riviere du Rempart,"30,935","30,359","29,957","28,949","28,919","25,027","22,692","22,229"
Quartier Militaire and Moka,"31,844","31,183","30,753","29,247","29,464","30,305","27,106","26,639"
Flacq and Bon Accueil,"37,144","36,445","35,851","34,261","34,540","35,744","31,467","31,410"
Montagne Blanche and Grand River South East,"35,045","34,223","33,620","32,023","32,215","28,801","25,903","25,401"
Vieux Grand Port and Rose Belle,"29,536","29,008","28,690","27,354","27,521","26,986","24,349","23,960"
Mahebourg and Plaine Magnien,"28,666","28,219","27,787","26,917","27,121","26,594","23,532","23,593"
Riviere des Anguilles and Souillac,"26,717","26,450","26,558","25,651","25,935","25,213","22,977","22,660"
Savanne and Black River,"40,470","39,606","38,971","38,250","37,690","35,370","32,937","31,459"
La Caverne and Phoenix,"41,458","40,565","39,641","39,068","38,711","36,649","35,573","33,215"
Vacoas and Floreal,"37,172","36,530","35,721","35,354","34,734","33,227","32,113","29,974"
Curepipe and Midlands,"33,873","33,226","32,556","32,505","31,852","29,407","27,277","25,781"
Belle Rose and Quatre Bornes,"37,070","36,553","36,519","36,579","35,977","32,807","29,133","26,978"
Stanley and Rose Hill,"30,787","30,210","29,873","29,989","29,601","29,247","31,006","28,404"
Beau Bassin and Petitie Riviere,"34,916","34,154","33,807","33,500","33,131","39,199","37,454","35,043"
Rodrigues,"18,176","17,528","17,663","17,628","17,606","15,525","15,373","14,460"
,0,0,0,0,0,0,0,0
